ID,NAME,PRICE,AREA,IMAGE,URL
9733423293445899,2014 Peugeot Tweet 125,£950,Chelmsford,https://scontent-lhr6-1.xx.fbcdn.net/v/t39.30808-6/490299895_122138163956595809_1729308484428546596_n.jpg?stp=c0.169.1537.1537a_dst-jpg_s261x260_tt6&_nc_cat=109&ccb=1-7&_nc_sid=454cf4&_nc_ohc=RngCzyCBrdMQ7kNvwHEBvoF&_nc_oc=AdnyfLve9xx6WTuBJEtJEFsVxa6zGbrJTWAz-A0aUjFywfPfEyqBVSmepZrGGn0VYwM&_nc_zt=23&_nc_ht=scontent-lhr6-1.xx&_nc_gid=DZtOW8KK2gkf50udjv5NTw&oh=00_AfG-E7sV7KCiro_a79NRdnvBQipglHtnwYWBll9PIb4m_A&oe=67FC7D3F,https://www.facebook.com/marketplace/item/9733423293445899
30272023169063456,Child seat for bike,£20,Chelmsford,https://scontent-lhr8-1.xx.fbcdn.net/v/t45.5328-4/489372108_616804631359007_4840132800605923461_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=111&ccb=1-7&_nc_sid=247b10&_nc_ohc=1_HgGojuas8Q7kNvwG37K2c&_nc_oc=AdkQ-n9JwOQ_M2J1FyyC9W0R240qBJeOaJ94ggpQrP9oBk6FOQuMlcU8JhiMBuhKrf0&_nc_zt=23&_nc_ht=scontent-lhr8-1.xx&_nc_gid=DZtOW8KK2gkf50udjv5NTw&oh=00_AfGckxRcpPiOueWinizR_bb9wkosL_BoyKGeSC9JIb16Rw&oe=67FC71B8,https://www.facebook.com/marketplace/item/30272023169063456
9630622110333038,Orange dinosaur bike,£25,Chelmsford,https://scontent-lhr8-1.xx.fbcdn.net/v/t45.5328-4/489351456_9560621260641378_5581207000556851498_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=111&ccb=1-7&_nc_sid=247b10&_nc_ohc=rB2HTxF99lEQ7kNvwGH9NVx&_nc_oc=AdlkfZ4h_hhcp5oByd3bmo3DKIW8ta1P3wxTnl1i2scEMspcDNYmfIVTIzryjyOSB9E&_nc_zt=23&_nc_ht=scontent-lhr8-1.xx&_nc_gid=DZtOW8KK2gkf50udjv5NTw&oh=00_AfG_vvqvafm4Atj8ju9jgVpAmnbEA2HdK4EuUcbCfDMgiA&oe=67FC8EE8,https://www.facebook.com/marketplace/item/9630622110333038
9582474305120921,Free purple silver fox bike,£0,Chelmsford,https://scontent-lhr8-1.xx.fbcdn.net/v/t45.5328-4/489428029_1004756641319737_2591712222307003259_n.jpg?stp=c0.152.261.261a_dst-jpg_p261x260_tt6&_nc_cat=107&ccb=1-7&_nc_sid=247b10&_nc_ohc=nesYyZo0BSgQ7kNvwEJiV_Y&_nc_oc=AdmSgZrqwolC8Ap2omqnFlgmoFuqTZ1BC-X68fzpCNfPOQnmMbvCdFEu-e9kd4LS5_U&_nc_zt=23&_nc_ht=scontent-lhr8-1.xx&_nc_gid=DZtOW8KK2gkf50udjv5NTw&oh=00_AfFUz5RO65aF8eB7HUr88pD2zJ1OKmp_Fbxh9y2esLiaTQ&oe=67FC71CB,https://www.facebook.com/marketplace/item/9582474305120921
29091678470447344,Balance bike,£25,Chelmsford,https://scontent-lhr6-2.xx.fbcdn.net/v/t45.5328-4/488645340_642499225429198_712303237772996725_n.jpg?stp=c42.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=104&ccb=1-7&_nc_sid=247b10&_nc_ohc=e7zkvzy05IgQ7kNvwFiF-f9&_nc_oc=AdlLfIr9ixyWiLpHwMY3iUtRrDDwROAfXtzb7cr4DopV3Yv0HgowyObvifx-Fw7LeRU&_nc_zt=23&_nc_ht=scontent-lhr6-2.xx&_nc_gid=DZtOW8KK2gkf50udjv5NTw&oh=00_AfGlWRqaQuHTcQHDjHZjEoj4BdHmiCv2VIBOW4xhFQYqsg&oe=67FC99BC,https://www.facebook.com/marketplace/item/29091678470447344
9921129464572926,Kids bike,£10,Chelmsford,https://scontent-lhr6-2.xx.fbcdn.net/v/t45.5328-4/489886729_1019360846217219_3744604382778594620_n.jpg?stp=c42.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=105&ccb=1-7&_nc_sid=247b10&_nc_ohc=mRyib9G_ID4Q7kNvwGLJnQL&_nc_oc=AdkILEdbvXA-sl6J6S4C2dGN6n9sxNfFhWuK_c-wwbdpM7gLLYBaGRcnnVkFmqYWa5g&_nc_zt=23&_nc_ht=scontent-lhr6-2.xx&_nc_gid=DZtOW8KK2gkf50udjv5NTw&oh=00_AfHtOWG-bq0Lvt7vmiwkX6dS1cMiVgYQJktoxL5JaXaESw&oe=67FC8D02,https://www.facebook.com/marketplace/item/9921129464572926
9708928909129850,New - Kids Bike Brake Levers L&R,£2,Chelmsford,https://scontent-lhr6-2.xx.fbcdn.net/v/t45.5328-4/470667721_1085863996652582_3322991486444158525_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=100&ccb=1-7&_nc_sid=247b10&_nc_ohc=G8qX-i5mIrsQ7kNvwFuDoq0&_nc_oc=AdlGWulEoYxfC1VelmSWQ1nV--Azonxg-qGHQUM_S8jx7aIV9lqxYtH3nAMWJoQgJTs&_nc_zt=23&_nc_ht=scontent-lhr6-2.xx&_nc_gid=DZtOW8KK2gkf50udjv5NTw&oh=00_AfFYl0voL8-1FT_RDtTyMPuzIydadLr8nvM10oLZTQL8zQ&oe=67FC8091,https://www.facebook.com/marketplace/item/9708928909129850
9719320554801066,HQ Bike Handle Grip Set,£8,Chelmsford,https://scontent-lhr8-2.xx.fbcdn.net/v/t45.5328-4/472270672_1120265609269926_442343207669503026_n.jpg?stp=c58.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=103&ccb=1-7&_nc_sid=247b10&_nc_ohc=S-bLN_B7d-IQ7kNvwHe7hQZ&_nc_oc=AdkGZmfkqIqVn3cxr0w032cmyRymYrqC7UpxhcEGt6MvwX-Rnj-ZHR6LPwKl4sWXEKY&_nc_zt=23&_nc_ht=scontent-lhr8-2.xx&_nc_gid=DZtOW8KK2gkf50udjv5NTw&oh=00_AfEQlSXBTmNILS_Ez_gyeVLqm83lIr15eJoUPpmc1-yvdg&oe=67FC7F07,https://www.facebook.com/marketplace/item/9719320554801066
9594185693998608,Carrera Crossfire E Mens Electric Hybrid Bike 2.0,£600,Chelmsford,https://scontent-lhr6-2.xx.fbcdn.net/v/t45.5328-4/475889620_1161114432277082_6175125445449417280_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=105&ccb=1-7&_nc_sid=247b10&_nc_ohc=zEa598KdwKcQ7kNvwEfPbYD&_nc_oc=AdncwOOitBenSqTCISQqgEe-DpRkXn_TDv--m6wYLVnX5bC3NdKlV7Y9QW_vqE7mlwQ&_nc_zt=23&_nc_ht=scontent-lhr6-2.xx&_nc_gid=DZtOW8KK2gkf50udjv5NTw&oh=00_AfFosVMa-42bAReJNTBp6dWvWWVXL5yB_tHYG6ZK13IrlA&oe=67FC938B,https://www.facebook.com/marketplace/item/9594185693998608
9903084863057047,Motor bike Filters D U O  B .M.C,£60,Chelmsford,https://scontent-lhr8-2.xx.fbcdn.net/v/t45.5328-4/489700195_1298965347845055_8554847084802548788_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=101&ccb=1-7&_nc_sid=247b10&_nc_ohc=AupFSI3DpycQ7kNvwGCLHjv&_nc_oc=Admyea-CiOOSeV1Sr39YrqXSFLnsTMlkD7lx_C9C0f97j5qofblVyCKDtDH9Ipetbbc&_nc_zt=23&_nc_ht=scontent-lhr8-2.xx&_nc_gid=DZtOW8KK2gkf50udjv5NTw&oh=00_AfGzUQIOXWH6TcYh-cisclL6g9soaqEXx3V8__JbGaNqpg&oe=67FC78E2,https://www.facebook.com/marketplace/item/9903084863057047
29530574289861061,Kids Blue Bike- 10in wheels with Stabilisers & Bell,£50,Billericay,https://scontent-lhr6-2.xx.fbcdn.net/v/t45.5328-4/489012580_2379799715736056_4590311049231799206_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=104&ccb=1-7&_nc_sid=247b10&_nc_ohc=fFH0f20DZnYQ7kNvwHqErwi&_nc_oc=Adn9TnsLkphglthoAecfl3r7OLJr198h4qInHD3uOxsV-JX29N0ZdqQJpjXmtahXA9Q&_nc_zt=23&_nc_ht=scontent-lhr6-2.xx&_nc_gid=DZtOW8KK2gkf50udjv5NTw&oh=00_AfEHcE28qvn9FgcMioA1nEZhVhqt8DjXFcGXYwa0plncBw&oe=67FC849F,https://www.facebook.com/marketplace/item/29530574289861061
29359588043689978,sensa romagna road bike,£195,Chelmsford,https://scontent-lhr8-2.xx.fbcdn.net/v/t45.5328-4/489374877_621148780919718_6834907788092217476_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=103&ccb=1-7&_nc_sid=247b10&_nc_ohc=TRG47fa83UkQ7kNvwGfS2WF&_nc_oc=AdnkfQ3oVudCb2wr_yms68_5mJscmN0-F7PZh4HmuPITXw7qMemTcJy6u5Ww18EQ52g&_nc_zt=23&_nc_ht=scontent-lhr8-2.xx&_nc_gid=DZtOW8KK2gkf50udjv5NTw&oh=00_AfF70zfjcxn9B3N9A_HHjl8SXzdjSVPWn_x_8g-l_CfvqQ&oe=67FC9DFD,https://www.facebook.com/marketplace/item/29359588043689978
9450074731776683,New - Bike Trouser Ankle Clips,£2,Billericay,https://scontent-lhr8-1.xx.fbcdn.net/v/t45.5328-4/475761377_968312998764078_2621957648780605450_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=111&ccb=1-7&_nc_sid=247b10&_nc_ohc=Recm-V3eHo4Q7kNvwFFFMRk&_nc_oc=AdkGx5ci3jaXuZhukL_MV54bexpEHM4y1h_0OCLru8FqqWVm1hrlHC0amlLIuBJWcic&_nc_zt=23&_nc_ht=scontent-lhr8-1.xx&_nc_gid=DZtOW8KK2gkf50udjv5NTw&oh=00_AfEdu4FN65YWamBTRnmSHcNDAXjwY43bbXUs4gmpbQiXCw&oe=67FC7E6A,https://www.facebook.com/marketplace/item/9450074731776683
9799758756806263,Car bike rack,£180,Chelmsford,https://scontent-lhr6-2.xx.fbcdn.net/v/t45.5328-4/458728119_1311039023095363_2409911830293314612_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=100&ccb=1-7&_nc_sid=247b10&_nc_ohc=tf3fuswzi90Q7kNvwGtHOI1&_nc_oc=AdkU_dsShrZhOfEcRnJ_IbPmV8nY54CcEnMjXBGyDGnemJaU8TML8XwOMmmGntkdX5k&_nc_zt=23&_nc_ht=scontent-lhr6-2.xx&_nc_gid=DZtOW8KK2gkf50udjv5NTw&oh=00_AfFcNUxvtLETR-oqUuHlurJxTbbrsn29YzyZ04UuVk6O8Q&oe=67FC7C1A,https://www.facebook.com/marketplace/item/9799758756806263
29093289103648310,Balance bike,£25,Chelmsford,https://scontent-lhr6-2.xx.fbcdn.net/v/t45.5328-4/489370930_956394936704629_1214243372668245751_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=104&ccb=1-7&_nc_sid=247b10&_nc_ohc=gVChxtEApHQQ7kNvwHHAPRE&_nc_oc=Adl8j1Jvn-ZYZ5EzaeOszCKX_SuiigA69wWQ686EWbihPQFXREzAIXAnSz6thuwQw2g&_nc_zt=23&_nc_ht=scontent-lhr6-2.xx&_nc_gid=DZtOW8KK2gkf50udjv5NTw&oh=00_AfGHDnw5eKVlKpNKwg1kBnVNhcJKy_DAjoHiXOZkz8T7EA&oe=67FCA0BB,https://www.facebook.com/marketplace/item/29093289103648310
9573774619403129,Cw125s,£0,Chelmsford,https://scontent-lhr8-1.xx.fbcdn.net/v/t45.5328-4/489654647_701276412253128_3522764001128215944_n.jpg?stp=c0.101.261.261a_dst-jpg_p261x260_tt6&_nc_cat=108&ccb=1-7&_nc_sid=247b10&_nc_ohc=L7hLOFocwz8Q7kNvwFYlCsv&_nc_oc=AdmJ7zL1nvkw_BeZOhNgNzRk05266PD7wW8xWEbdnFQ9HFnDOH5W1EQVWX11Eom6nY4&_nc_zt=23&_nc_ht=scontent-lhr8-1.xx&_nc_gid=DZtOW8KK2gkf50udjv5NTw&oh=00_AfHymG6JNxKS-dDceHqdUFemrgkDT-x8w1FqykaHFvm_Tg&oe=67FC96BF,https://www.facebook.com/marketplace/item/9573774619403129
29781862704734089,Exercise bike “Wenoker” Completely unused.,£100,Chelmsford,https://scontent-lhr6-1.xx.fbcdn.net/v/t45.5328-4/489067790_4142936812698611_6870452318210359030_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=102&ccb=1-7&_nc_sid=247b10&_nc_ohc=q4OdYVeSmzwQ7kNvwGpKNpH&_nc_oc=AdlvkZI4QZ81Tj9fJpcSBSb-zmTBTLAxUNczbYTsfeX-MKgxvRofTARfSvtCNMVU74w&_nc_zt=23&_nc_ht=scontent-lhr6-1.xx&_nc_gid=DZtOW8KK2gkf50udjv5NTw&oh=00_AfFtXfC2TyZ-yJ6dgtXd06_xrJBuvaj6SW6rB78mKGqRwg&oe=67FC9432,https://www.facebook.com/marketplace/item/29781862704734089
